#Id	Used	Can be broken by	Normal Drop	Ultimallet Drop	Description
0	Used	Intangible Block	0	0	Set on layer 0 will create sea floor
1	Used	Intangible With Hammer	0	0	Indestructible
2	Used	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
3	Used	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
4	Used	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
5	Used	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
6	Used	Giant Mallet	Clay x1 {1005}	Clay x1 {1005}	0
7	Used	Giant Mallet	Earth x1 {1001}	Mossy Earth  x1 {1006}	0
8	Used	Giant Mallet	Chalk x1 {1007}	Chalk x1 {1007}	0
9	Used	Giant Mallet	Chunky Chalk x1 {1008}	Chunky Chalk x1 {1008}	0
10	Used	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
11	Used	Cypress Stick	Sand x1 {1010}	Sand x1 {1010}	0
12	Used	Sledgehammer	Sandstone x1 {1011}	Sandstone x1 {1011}	0
13	Used	Sledgehammer	Sandy Sandstone x1 {1012}	Sandy Sandstone x1 {1012}	0
14	Used	Sledgehammer	Bloodstone x1 {1013}	Bloodstone x1 {1013}	0
15	Used	Sledgehammer	Ash x1 {1014}	Ash x1 {1014}	0
16	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
17	Used	Cypress Stick	Poisonous Peat x1 {1016} [With hammer]	Poisonous Peat x1 {1016}	0
18	Used	Cypress Stick	Nothing {-1}	Nothing {-1}	0
19	Used	Cypress Stick	Snow x1 {1018}	Snow x1 {1018}	0
20	Used	Giant Mallet	Ice x1 {1019}	Ice x1 {1019}	0
21	Used	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
22	Used	Giant Mallet	Nothing {-1}	Crumbly Clodstone x1 {1021}	Breaks when stepped into
23	Used	Sledgehammer	Basalt x1 {1022}	Basalt x1 {1022}	0
24	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
25	Used	Giant Mallet	Lava x1 {1024}	Lava x1 {1024}	Set near liquid lava will eventually transform into lava
26	Used	Ultimallet	Nothing {-1}	Vault Wall x1 {1025}	0
27	Used	Ultimallet	Nothing {-1}	Viny Vault Wall x1 {1026}	0
28	Used	Sledgehammer	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
29	Used	Giant Mallet	Mud-Brick Wall x1 {1028}	Mud-Brick Wall x1 {1028}	0
30	Used	Giant Mallet	Timbered Wall x1 {1030}	Timbered Foundation x1 {1029}	0
31	Used	Giant Mallet	Timbered Wall x1 {1030}	Timbered Wall Midsection x1 {2285}	0
32	Used	Giant Mallet	Timbered Wall x1 {1030}	Timbered Capital x1 {1031}	0
33	Used	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Pedestal x1 {1032}	0
34	Used	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Column Midsection x1 {2286}	0
35	Used	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Capital x1 {1034}	0
36	Used	Giant Mallet	Stone Wall x1 {1036}	Stone Foundation x1 {1035}	0
37	Used	Giant Mallet	Stone Wall x1 {1036}	Stone Wall Midsection x1 {2287}	0
38	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
39	Used	Giant Mallet	Castle Wall x1 {1039}	Castle Foundation x1 {1038}	0
40	Used	Giant Mallet	Castle Wall x1 {1039}	Castle Wall Midsection x1 {2288}	0
41	Used	Giant Mallet	Castle Wall x1 {1039}	Castle Crenellation x1 {1040}	0
42	Used	Giant Mallet	Castle Battlement x1 {1041}	Castle Battlement x1 {1041}	0
43	Used	Giant Mallet	Wooden Wall x1 {1042}	Wooden Wall x1 {1042}	0
44	Used	Giant Mallet	Plumberry Lumber x1 {1043}	Plumberry Lumber x1 {1043}	0
45	Used	Giant Mallet	Flagstone x1 {1044}	Flagstone x1 {1044}	0
46	Used	Giant Mallet	Straw Floor x1 {1045}	Straw Floor x1 {1045}	0
