Id	Name
0	Null
1	Grass
2	Stalwort
3	Medicinal Shrub
4	Coralily
5	Daffodaisy
6	Milkblossom
7	Ivy
8	Tingleweed
9	Cotton Plant
10	Marshroom
11	Large Lily Pad
12	Fibrous Fern
13	Bigonia
14	Pongsettia
15	Sandwort
16	Prickly Peach Cactus
17	Cactus Crown
18	Cactus Trunk
19	Witchgrass
20	Bogwort
21	Frogstool
22	Tainted Tree
23	Twisted Tree Trunk
24	Freezia
25	Septic Shrub
26	Shadowgrass
27	Plumberry Seedling
28	Plumberry Sapling
29	Plumberry Tree
30	Plumberry Stump
31	Big Plumberry Tree
32	Palm Seedling
33	Palm Sapling
34	Palm Tree
35	Palm Stump
36	Cedar Seedling
37	Cedar Sapling
38	Cedar Tree
39	Cedar Stump
40	Snowy Cedar
41	Pumice
42	Dead Tree
43	Metal Memorial
44	Huge Horn
45	Wooden Memorial
46	Gravestone
47	Dilapidated Crate
48	Broken Brickwork
49	¿Tattered Banner of Erdrick
50	Broken Barricade
51	Tattered Tent
52	Crate
53	Barrel
54	Pot
55	Leather Sack
56	Washtub
57	Signpost
58	Diagonal Fencing
59	Barricade
60	Ladder
61	Stone Steps
62	Armourer’s Sign
63	Shop Sign
64	Inn Sign
65	Wall-Mounted Banner [White]
66	Porched Window
67	Arched Window
68	Stone Window
69	Wooden Door
70	Magic Door
71	Cell Door
72	Steel Doors
73	Wooden Gate
74	(Lock)
75	Buttress
76	Ridge Tiling
77	Well
78	Torch
79	Sconce
80	Bonfire
81	Cookfire
82	Wall Lamp
83	Candlestick
84	Candelabrum
85	Brazier
86	Pot Plant
87	Bottles
88	Crockery
89	Dressing Table
90	Small Table
91	Big Table
92	Stone Table
93	Dining Table
94	Wooden Stool
95	Comfy Stool
96	Throne
97	Straw Mattress
98	Simple Bed
99	King-Sized Bed
100	Towel Rail
101	Bookcase
102	Chest Of Drawers
103	Wardrobe
104	Grandfather Clock
105	Ornamental Swords
106	Ornamental Armour
107	Stove
108	Sink
109	Bathtub
110	Goddess Statue
111	Clover Carving
112	Item Display Stand
113	Treasure Chest
114	Decorative Drapery
115	Bold Banner
116	Big Bold Banner
117	Pretty Pillar
118	Column
119	Stone Coping
120	Stone Capping
121	Decorative Shield
122	Small Stones
123	Big Rock
124	Bones
125	Dragon Bones
126	Chains
127	Dragonlord’s Standard
128	Vile Tile
129	Seal of Erdrick
130	Draconic Column
131	Vile Visage
132	Evil Idol
133	Beastly Burrow
134	Helliportal
135	Spike Trap
136	Wall-Mounted Banner [Black]
137	Pristine Plumberry
138	Wall-Mounted Banner [Purple]
139	Wall-Mounted Banner [Pink]
140	Wall-Mounted Banner [Red]
141	Wall-Mounted Banner [Green]
142	Wall-Mounted Banner [Yellow]
143	Fierce Fountain
144	Wall-Mounted Banner [Blue]
145	Tree Stump
146	Slime Balloons
147	Stone Workbench LV0
148	Wooden Workbench LV0
149	(Multipurpose Workbench)
150	Colour Wheel
151	Forge
152	Hela’s Hammer Sign
153	Brick Barbecue
154	Stickler’s Sifter
155	Sewing Station
156	Wooden Fortification [White]
157	Metalist Workbench
158	Welder’s Workbench
159	¿Dead Plant
160	¿Dead Plant on Pole
161	Furnace
162	Old Book
163	Old Note
164	¿Buggy Buggy
165	Cantlin Shield
166	Holyhock Seedling
167	Wooden Fortification [Black]
168	¿Infernal Ivy
169	Cannon
170	Piston
171	¿Pressure Plate
172	¿Button
173	Ballista
174	Magic Cannon
175	Roof Tiling
176	Pitched Tiling
177	Outer Corner Tiling
178	Inner Corner Tiling
179	Colossal Coffer
180	Armoire
181	¿Armoire
182	Equipment Display Stand
183	Straight Track
184	Curved Track
185	Sloped Track
186	Stop Sign
187	Wooden Minecart
188	Spiked Metal Minecart
189	Criss-Cross Leadlight [White]
190	Criss-Cross Leadlight [Black]
191	Criss-Cross Leadlight [Purple]
192	Criss-Cross Leadlight [Pink]
193	Criss-Cross Leadlight [Red]
194	Criss-Cross Leadlight [Green]
195	Criss-Cross Leadlight [Yellow]
196	Criss-Cross Leadlight [Blue]
197	Wrecking Ball
198	Portrait of a Lady
199	Fountain
200	¿Water block
201	¿Ht Water block
202	Wooden Fortification [Purple]
203	Wooden Fortification [Pink]
204	Wooden Fortification [Red]
205	¿Yellow banner
206	Straw Door
207	Wooden Steps
208	Chimney
209	Stone Stool
210	0
211	Window
212	Wooden Fortification [Yellow]
213	Wooden Fortification [Blue]
214	Filter Fountain
215	¿Locked Chest
216	¿Teleportal
217	¿Terra Incognita
218	¿Terra Incognita
219	¿Minimedal Stand
220	Tiled Window
221	Branch
222	Mini Merlon
223	Emblematic Clock [White]
224	Gentleman Sign
225	Lady Sign
