#ID	imageId	Used	NAME
0	0	Unknown	Null
1	1	Unknown	Grass
2	2	Unknown	Stalwort
3	3	Unknown	Medicinal Shrub
4	4	Unknown	Coralily
5	5	Unknown	Daffodaisy
6	6	Unknown	Milkblossom
7	7	Unknown	Ivy
8	8	Unknown	Tingleweed
9	9	Unknown	Cotton Plant
10	10	Unknown	Marshroom
11	11	Unknown	Large Lily Pad
12	12	Unknown	Fibrous Fern
13	13	Unknown	Bigonia
14	14	Unknown	Pongsettia
15	15	Unknown	Sandwort
16	16	Unknown	Prickly Peach Cactus
17	17	Unknown	Cactus Crown
18	18	Unknown	Cactus Trunk
19	19	Unknown	Witchgrass
20	20	Unknown	Bogwort
21	21	Unknown	Frogstool
22	22	Unknown	Tainted Tree
23	23	Unknown	Twisted Tree Trunk
24	24	Unknown	Freezia
25	25	Unknown	Septic Shrub
26	26	Unknown	Shadowgrass
27	27	Unknown	Plumberry Seedling
28	28	Unknown	Plumberry Sapling
29	29	Unknown	Plumberry Tree
30	30	Unknown	Plumberry Stump
31	31	Unknown	Big Plumberry Tree
32	32	Unknown	Palm Seedling
33	33	Unknown	Palm Sapling
34	34	Unknown	Palm Tree
35	35	Unknown	Palm Stump
36	36	Unknown	Cedar Seedling
37	37	Unknown	Cedar Sapling
38	38	Unknown	Cedar Tree
39	39	Unknown	Cedar Stump
40	40	Unknown	Snowy Cedar
41	41	Unknown	Pumice
42	42	Unknown	Dead Tree
43	43	Unknown	Metal Memorial
44	44	Unknown	Huge Horn
45	45	Unknown	Wooden Memorial
46	46	Unknown	Gravestone
47	47	Unknown	Dilapidated Crate
48	48	Unknown	Broken Brickwork
49	49	Unknown	¿Tattered Banner of Erdrick
50	50	Unknown	Broken Barricade
51	51	Unknown	Tattered Tent
52	52	Unknown	Crate
53	53	Unknown	Barrel
54	54	Unknown	Pot
55	55	Unknown	Leather Sack
56	56	Unknown	Washtub
57	57	Unknown	Signpost
58	58	Unknown	Diagonal Fencing
59	59	Unknown	Barricade
60	60	Unknown	Ladder
61	61	Unknown	Stone Steps
62	62	Unknown	Armourer’s Sign
63	63	Unknown	Shop Sign
64	64	Unknown	Inn Sign
65	65	Unknown	Wall-Mounted Banner [White]
66	66	Unknown	Porched Window
67	67	Unknown	Arched Window
68	68	Unknown	Stone Window
69	69	Unknown	Wooden Door
70	70	Unknown	Magic Door
71	71	Unknown	Cell Door
72	72	Unknown	Steel Doors
73	73	Unknown	Wooden Gate
74	74	Unknown	(Lock)
75	75	Unknown	Buttress
76	76	Unknown	Ridge Tiling
77	77	Unknown	Well
78	78	Unknown	Torch
79	79	Unknown	Sconce
80	80	Unknown	Bonfire
81	81	Unknown	Cookfire
82	82	Unknown	Wall Lamp
83	83	Unknown	Candlestick
84	84	Unknown	Candelabrum
85	85	Unknown	Brazier
86	86	Unknown	Pot Plant
87	87	Unknown	Bottles
88	88	Unknown	Crockery
89	89	Unknown	Dressing Table
90	90	Unknown	Small Table
91	91	Unknown	Big Table
92	92	Unknown	Stone Table
