#Id	ImageId	Used	Name	Can be broken by	Normal Drop	Ultimallet Drop	Description
0	0	Used	Empty	Intangible Block	0	0	Set on layer 0 will create sea floor
1	1	Used	Bedrock	Intangible With Hammer	0	0	Indestructible
2	2	Used	Earth	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
3	3	Used	Grassy Earth	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
4	4	Used	Limegrassy Earth	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
5	5	Used	Tilled Soil	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
6	6	Used	Clay	Giant Mallet	Clay x1 {1005}	Clay x1 {1005}	0
7	7	Used	Mossy Earth	Giant Mallet	Earth x1 {1001}	Mossy Earth  x1 {1006}	0
8	8	Used	Chalk	Giant Mallet	Chalk x1 {1007}	Chalk x1 {1007}	0
9	9	Used	Chunky Chalk	Giant Mallet	Chunky Chalk x1 {1008}	Chunky Chalk x1 {1008}	0
10	10	Used	Obsidian	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
11	11	Used	Sand	Cypress Stick	Sand x1 {1010}	Sand x1 {1010}	0
12	12	Used	Sandstone	Sledgehammer	Sandstone x1 {1011}	Sandstone x1 {1011}	0
13	13	Used	Sandy Sandstone	Sledgehammer	Sandy Sandstone x1 {1012}	Sandy Sandstone x1 {1012}	0
14	14	Used	Bloodstone	Sledgehammer	Bloodstone x1 {1013}	Bloodstone x1 {1013}	0
15	15	Used	Ash	Sledgehammer	Ash x1 {1014}	Ash x1 {1014}	0
16	16	Unused	Witchgrassy Earth*	Intangible Block	Nothing {-1}	Nothing {-1}	0
17	17	Used	Poisonous Peat	Cypress Stick	Poisonous Peat x1 {1016} [With hammer]	Poisonous Peat x1 {1016}	0
18	18	Used	Snow Cover	Cypress Stick	Nothing {-1}	Nothing {-1}	0
19	19	Used	Snow	Cypress Stick	Snow x1 {1018}	Snow x1 {1018}	0
20	20	Used	Ice	Giant Mallet	Ice x1 {1019}	Ice x1 {1019}	0
21	21	Used	Clodstone	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
22	22	Used	Crumbly Clodstone	Giant Mallet	Nothing {-1}	Crumbly Clodstone x1 {1021}	Breaks when stepped into
23	23	Used	Basalt	Sledgehammer	Basalt x1 {1022}	Basalt x1 {1022}	0
24	-1	Unused	Translucent Block	Intangible Block	Nothing {-1}	Nothing {-1}	0
